,stop_name,line_num,stop_id,route_id,stop_lat,stop_lon,node_id
0,1 Av,1,L06,L,40.730953,-73.981628,L06_L
1,103 St,6,119,1,40.799446,-73.968379,119_1
2,103 St,6,624,4,40.7906,-73.947478,624_4
3,103 St,6,624,6,40.7906,-73.947478,624_6
4,103 St,6,A18,A,40.796092,-73.961454,A18_A
5,103 St,6,A18,B,40.796092,-73.961454,A18_B
6,103 St,6,A18,C,40.796092,-73.961454,A18_C
7,103 St - Corona Plaza,1,706,7,40.749865,-73.8627,706_7
8,104 St,2,A63,A,40.681711,-73.837683,A63_A
9,104 St,2,J14,J,40.695178,-73.84433,J14_J
10,110 St,2,623,4,40.79502,-73.94425,623_4
11,110 St,2,623,6,40.79502,-73.94425,623_6
12,111 St,3,705,7,40.75173,-73.855334,705_7
13,111 St,3,A64,A,40.684331,-73.832163,A64_A
14,111 St,3,J13,J,40.697418,-73.836345,J13_J
15,116 St,8,226,2,40.802098,-73.949625,226_2
16,116 St,8,226,3,40.802098,-73.949625,226_3
17,116 St,8,622,4,40.798629,-73.941617,622_4
18,116 St,8,226,5,40.802098,-73.949625,226_5
19,116 St,8,622,6,40.798629,-73.941617,622_6
20,116 St,8,A16,A,40.805085,-73.954882,A16_A
21,116 St,8,A16,B,40.805085,-73.954882,A16_B
22,116 St,8,A16,C,40.805085,-73.954882,A16_C
23,116 St - Columbia University,1,117,1,40.807722,-73.96411,117_1
24,121 St,1,J12,J,40.700492,-73.828294,J12_J
25,125 St,12,116,1,40.815581,-73.958372,116_1
26,125 St,12,225,2,40.807754,-73.945495,225_2
27,125 St,12,621,2,40.804138,-73.937594,621_2
28,125 St,12,225,3,40.807754,-73.945495,225_3
29,125 St,12,621,4,40.804138,-73.937594,621_4
30,125 St,12,225,5,40.807754,-73.945495,225_5
31,125 St,12,621,5,40.804138,-73.937594,621_5
32,125 St,12,621,6,40.804138,-73.937594,621_6
33,125 St,12,A15,A,40.811109,-73.952343,A15_A
34,125 St,12,A15,B,40.811109,-73.952343,A15_B
35,125 St,12,A15,C,40.811109,-73.952343,A15_C
36,125 St,12,A15,D,40.811109,-73.952343,A15_D
37,135 St,6,224,2,40.814229,-73.94077,224_2
38,135 St,6,224,3,40.814229,-73.94077,224_3
39,135 St,6,224,5,40.814229,-73.94077,224_5
40,135 St,6,A14,A,40.817894,-73.947649,A14_A
41,135 St,6,A14,B,40.817894,-73.947649,A14_B
42,135 St,6,A14,C,40.817894,-73.947649,A14_C
43,137 St - City College,1,115,1,40.822008,-73.953676,115_1
44,138 St - Grand Concourse,3,416,2,40.813224,-73.929849,416_2
45,138 St - Grand Concourse,3,416,4,40.813224,-73.929849,416_4
46,138 St - Grand Concourse,3,416,5,40.813224,-73.929849,416_5
47,14 St,9,132,1,40.737826,-74.000201,132_1
48,14 St,9,132,2,40.737826,-74.000201,132_2
49,14 St,9,132,3,40.737826,-74.000201,132_3
50,14 St,9,132,5,40.737826,-74.000201,132_5
51,14 St,9,A31,A,40.740893,-74.00169,A31_A
52,14 St,9,A31,C,40.740893,-74.00169,A31_C
53,14 St,9,A31,E,40.740893,-74.00169,A31_E
54,14 St,9,D19,F,40.738228,-73.996209,D19_F
55,14 St,9,D19,M,40.738228,-73.996209,D19_M
56,14 St - Union Sq,8,635,2,40.734673,-73.989951,635_2
57,14 St - Union Sq,8,635,4,40.734673,-73.989951,635_4
58,14 St - Union Sq,8,635,5,40.734673,-73.989951,635_5
59,14 St - Union Sq,8,635,6,40.734673,-73.989951,635_6
60,14 St - Union Sq,8,R20,N,40.735736,-73.990568,R20_N
61,14 St - Union Sq,8,R20,Q,40.735736,-73.990568,R20_Q
62,14 St - Union Sq,8,R20,R,40.735736,-73.990568,R20_R
63,14 St - Union Sq,8,R20,W,40.735736,-73.990568,R20_W
64,145 St,7,114,1,40.826551,-73.95036,114_1
65,145 St,7,302,3,40.820421,-73.936245,302_3
66,145 St,7,A12,A,40.824783,-73.944216,A12_A
67,145 St,7,A12,B,40.824783,-73.944216,A12_B
68,145 St,7,D13,B,40.824783,-73.944216,D13_B
69,145 St,7,A12,C,40.824783,-73.944216,A12_C
70,145 St,7,D13,D,40.824783,-73.944216,D13_D
71,149 St - Grand Concourse,3,222,2,40.81841,-73.926718,222_2
72,149 St - Grand Concourse,3,415,4,40.818375,-73.927351,415_4
73,149 St - Grand Concourse,3,222,5,40.81841,-73.926718,222_5
74,15 St - Prospect Park,2,F25,F,40.660365,-73.979493,F25_F
75,15 St - Prospect Park,2,F25,G,40.660365,-73.979493,F25_G
76,155 St,4,A11,A,40.830518,-73.941514,A11_A
77,155 St,4,D12,B,40.830135,-73.938209,D12_B
78,155 St,4,A11,C,40.830518,-73.941514,A11_C
79,155 St,4,D12,D,40.830135,-73.938209,D12_D
80,157 St,1,113,1,40.834041,-73.94489,113_1
81,161 St - Yankee Stadium,3,414,4,40.827994,-73.925831,414_4
82,161 St - Yankee Stadium,3,D11,B,40.827905,-73.925651,D11_B
83,161 St - Yankee Stadium,3,D11,D,40.827905,-73.925651,D11_D
84,163 St - Amsterdam Av,2,A10,A,40.836013,-73.939892,A10_A
85,163 St - Amsterdam Av,2,A10,C,40.836013,-73.939892,A10_C
86,167 St,3,413,4,40.835537,-73.9214,413_4
87,167 St,3,D10,B,40.833771,-73.91844,D10_B
88,167 St,3,D10,D,40.833771,-73.91844,D10_D
89,168 St,2,A09,A,40.840719,-73.939561,A09_A
90,168 St,2,A09,C,40.840719,-73.939561,A09_C
91,168 St - Washington Hts,1,112,1,40.840556,-73.940133,112_1
92,169 St,1,F02,F,40.71047,-73.793604,F02_F
93,170 St,3,412,4,40.840075,-73.917791,412_4
94,170 St,3,D09,B,40.839306,-73.9134,D09_B
95,170 St,3,D09,D,40.839306,-73.9134,D09_D
96,174 St,2,215,2,40.837288,-73.887734,215_2
97,174 St,2,215,5,40.837288,-73.887734,215_5
98,174-175 Sts,2,D08,B,40.8459,-73.910136,D08_B
99,174-175 Sts,2,D08,D,40.8459,-73.910136,D08_D
