,stop_id,train,stop_name,stop_lat,stop_lon
0,101,1,Van Cortlandt Park - 242 St,40.889248,-73.898583
1,103,1,238 St,40.884667,-73.90087
2,104,1,231 St,40.878856,-73.904834
3,106,1,Marble Hill - 225 St,40.874561,-73.909831
4,107,1,215 St,40.869444,-73.915279
5,108,1,207 St,40.864621,-73.918822
6,109,1,Dyckman St,40.860531,-73.925536
7,110,1,191 St,40.855225,-73.929412
8,111,1,181 St,40.849505,-73.933596
9,112,1,168 St - Washington Hts,40.840556,-73.940133
10,113,1,157 St,40.834041,-73.94489
11,114,1,145 St,40.826551,-73.95036
12,115,1,137 St - City College,40.822008,-73.953676
13,116,1,125 St,40.815581,-73.958372
14,117,1,116 St - Columbia University,40.807722,-73.96411
15,118,1,Cathedral Pkwy,40.803967,-73.966847
16,119,1,103 St,40.799446,-73.968379
17,120,1,96 St,40.793919,-73.972323
18,121,1,86 St,40.788644,-73.976218
19,122,1,79 St,40.783934,-73.979917
20,123,1,72 St,40.778453,-73.98197
21,124,1,66 St - Lincoln Center,40.77344,-73.982209
22,125,1,59 St - Columbus Circle,40.768247,-73.981929
23,126,1,50 St,40.761728,-73.983849
24,127,1,Times Sq - 42 St,40.75529,-73.987495
25,128,1,34 St - Penn Station,40.750373,-73.991057
26,129,1,28 St,40.747215,-73.993365
27,130,1,23 St,40.744081,-73.995657
28,131,1,18 St,40.74104,-73.997871
29,132,1,14 St,40.737826,-74.000201
30,133,1,Christopher St - Sheridan Sq,40.733422,-74.002906
31,134,1,Houston St,40.728251,-74.005367
32,135,1,Canal St,40.722854,-74.006277
33,136,1,Franklin St,40.719318,-74.006886
34,137,1,Chambers St,40.715478,-74.009266
35,138,1,Cortlandt St,40.711835,-74.012188
36,139,1,Rector St,40.707513,-74.013783
37,142,1,South Ferry,40.702068,-74.013664
38,120,2,96 St,40.793919,-73.972323
39,121,2,86 St,40.788644,-73.976218
40,122,2,79 St,40.783934,-73.979917
41,123,2,72 St,40.778453,-73.98197
42,124,2,66 St - Lincoln Center,40.77344,-73.982209
43,125,2,59 St - Columbus Circle,40.768247,-73.981929
44,126,2,50 St,40.761728,-73.983849
45,127,2,Times Sq - 42 St,40.75529,-73.987495
46,128,2,34 St - Penn Station,40.750373,-73.991057
47,129,2,28 St,40.747215,-73.993365
48,130,2,23 St,40.744081,-73.995657
49,131,2,18 St,40.74104,-73.997871
50,132,2,14 St,40.737826,-74.000201
51,133,2,Christopher St - Sheridan Sq,40.733422,-74.002906
52,134,2,Houston St,40.728251,-74.005367
53,135,2,Canal St,40.722854,-74.006277
54,136,2,Franklin St,40.719318,-74.006886
55,137,2,Chambers St,40.715478,-74.009266
56,201,2,Wakefield - 241 St,40.903125,-73.85062
57,204,2,Nereid Av,40.898379,-73.854376
58,205,2,233 St,40.893193,-73.857473
59,206,2,225 St,40.888022,-73.860341
60,207,2,219 St,40.883895,-73.862633
61,208,2,Gun Hill Rd,40.87785,-73.866256
62,209,2,Burke Av,40.871356,-73.867164
63,210,2,Allerton Av,40.865462,-73.867352
64,211,2,Pelham Pkwy,40.857192,-73.867615
65,212,2,Bronx Park East,40.848828,-73.868457
66,213,2,E 180 St,40.841894,-73.873488
67,214,2,West Farms Sq - E Tremont Av,40.840295,-73.880049
68,215,2,174 St,40.837288,-73.887734
69,216,2,Freeman St,40.829993,-73.891865
70,217,2,Simpson St,40.824073,-73.893064
71,218,2,Intervale Av,40.822181,-73.896736
72,219,2,Prospect Av,40.819585,-73.90177
73,220,2,Jackson Av,40.81649,-73.907807
74,221,2,3 Av - 149 St,40.816109,-73.917757
75,222,2,149 St - Grand Concourse,40.81841,-73.926718
76,224,2,135 St,40.814229,-73.94077
77,225,2,125 St,40.807754,-73.945495
78,226,2,116 St,40.802098,-73.949625
79,227,2,Central Park North (110 St),40.799075,-73.951822
80,228,2,Park Pl,40.713051,-74.008811
81,229,2,Fulton St,40.709416,-74.006571
82,230,2,Wall St,40.706821,-74.0091
83,231,2,Clark St,40.697466,-73.993086
84,232,2,Borough Hall,40.693219,-73.989998
85,233,2,Hoyt St,40.690545,-73.985065
86,234,2,Nevins St,40.688246,-73.980492
87,235,2,Atlantic Av - Barclays Ctr,40.684359,-73.977666
88,236,2,Bergen St,40.680829,-73.975098
89,237,2,Grand Army Plaza,40.675235,-73.971046
90,238,2,Eastern Pkwy - Brooklyn Museum,40.671987,-73.964375
91,239,2,Franklin Av,40.670682,-73.958131
92,241,2,President St,40.667883,-73.950683
93,242,2,Sterling St,40.662742,-73.95085
94,243,2,Winthrop St,40.656652,-73.9502
95,244,2,Church Av,40.650843,-73.949575
96,245,2,Beverly Rd,40.645098,-73.948959
97,246,2,Newkirk Av,40.639967,-73.948411
98,247,2,Flatbush Av - Brooklyn College,40.632836,-73.947642
99,248,2,Nostrand Av,40.669847,-73.950466
100,249,2,Kingston Av,40.669399,-73.942161
101,250,2,Crown Hts - Utica Av,40.668897,-73.932942
102,251,2,Sutter Av - Rutland Rd,40.664717,-73.92261
103,252,2,Saratoga Av,40.661453,-73.916327
104,253,2,Rockaway Av,40.662549,-73.908946
105,254,2,Junius St,40.663515,-73.902447
106,255,2,Pennsylvania Av,40.664635,-73.894895
107,256,2,Van Siclen Av,40.665449,-73.889395
108,257,2,New Lots Av,40.666235,-73.884079
109,416,2,138 St - Grand Concourse,40.813224,-73.929849
110,418,2,Fulton St,40.710368,-74.009509
111,419,2,Wall St,40.707557,-74.011862
112,420,2,Bowling Green,40.704817,-74.014065
113,423,2,Borough Hall,40.692404,-73.990151
114,621,2,125 St,40.804138,-73.937594
115,626,2,86 St,40.779492,-73.955589
116,629,2,59 St,40.762526,-73.967967
117,631,2,Grand Central - 42 St,40.751776,-73.976848
118,635,2,14 St - Union Sq,40.734673,-73.989951
119,640,2,Brooklyn Bridge - City Hall,40.713065,-74.004131
120,120,3,96 St,40.793919,-73.972323
121,123,3,72 St,40.778453,-73.98197
122,127,3,Times Sq - 42 St,40.75529,-73.987495
123,128,3,34 St - Penn Station,40.750373,-73.991057
124,132,3,14 St,40.737826,-74.000201
125,137,3,Chambers St,40.715478,-74.009266
126,224,3,135 St,40.814229,-73.94077
127,225,3,125 St,40.807754,-73.945495
128,226,3,116 St,40.802098,-73.949625
129,227,3,Central Park North (110 St),40.799075,-73.951822
130,228,3,Park Pl,40.713051,-74.008811
131,229,3,Fulton St,40.709416,-74.006571
132,230,3,Wall St,40.706821,-74.0091
133,231,3,Clark St,40.697466,-73.993086
